source_table,track_name,dataset_source,model_id,model_label,model_family,evidence_tier,headline_eligible,branch_relation,split_rule,n_processed_rows,n_unique_sequences,n_train,n_test_or_n,target_column,r2,rmse,mae,r2_ci_low,r2_ci_high,bootstrap_repeats
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track,Random Promoter DREAM / MAUDE-derived,N03_T05_UncertaintyEnsemble_ExtraTrees,N03_T05_UncertaintyEnsemble_ExtraTrees,atlas_nonlinear_head,primary_headline,no,potential_duplicate_or_related,provided_split_column,150000,139904,60438.0,89562,target,-0.36485466386358145,6.43960107671961,4.545215300749819,-0.37373273269993706,-0.3565598529666947,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track,Random Promoter DREAM / MAUDE-derived,N04_T05_UncertaintyEnsemble_HistGB,N04_T05_UncertaintyEnsemble_HistGB,atlas_nonlinear_head,primary_headline,no,potential_duplicate_or_related,provided_split_column,150000,139904,60438.0,89562,target,-0.37564914972010977,6.465015974127722,4.538127691005682,-0.3853485740373717,-0.366564924230002,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track,Random Promoter DREAM / MAUDE-derived,N05_T02_SelectionPotential_HistGB,N05_T02_SelectionPotential_HistGB,atlas_nonlinear_head,primary_headline,no,potential_duplicate_or_related,provided_split_column,150000,139904,60438.0,89562,target,-0.38077186886517533,6.477042182369328,4.5432330217717665,-0.3905383659433398,-0.37157094742068575,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_held_out_context_track_TaskB,PARM/GSE301246,B01_Ridge_GLM_style,B01_Ridge_GLM_style,external_baseline,primary_headline,no,not_flagged,random_split,662,331,529.0,133,target,0.01091903690186391,0.6535745281207901,0.510857392265162,-0.03299998233718352,0.021760369370967474,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_held_out_context_track_TaskB,PARM/GSE301246,B02_ElasticNet_GLM,B02_ElasticNet_GLM,external_baseline,primary_headline,no,not_flagged,random_split,662,331,529.0,133,target,0.01309006863856832,0.6528568363495355,0.5102428302843337,-0.03279699114098683,0.026048819738927604,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_held_out_context_track_TaskB,PARM/GSE301246,B03_NystroemKernelRidge_RBF,B03_NystroemKernelRidge_RBF,external_baseline,primary_headline,no,not_flagged,random_split,662,331,529.0,133,target,-0.0952350015093193,0.6877535705465297,0.5372018056380623,-0.1868936611884452,-0.029219367616288204,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_held_out_context_track_TaskB,PARM/GSE301246,B04_ExtraTrees,B04_ExtraTrees,external_baseline,primary_headline,no,not_flagged,random_split,662,331,529.0,133,target,-0.1670166970347462,0.7099336004068109,0.5289574361698769,-0.3947705867298977,0.006653314680417085,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_held_out_context_track_TaskB,PARM/GSE301246,B05_RandomForest,B05_RandomForest,external_baseline,primary_headline,no,not_flagged,random_split,662,331,529.0,133,target,-0.14139135442965922,0.702095979039907,0.5324067147663026,-0.3014072580263817,-0.006230289719315647,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_held_out_context_track_TaskB,PARM/GSE301246,B06_HistGradientBoosting,B06_HistGradientBoosting,external_baseline,primary_headline,no,not_flagged,random_split,662,331,529.0,133,target,-0.352461343125682,0.7642608743437412,0.5497856802148657,-0.6724900510625953,-0.1293773713746153,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_held_out_context_track_TaskB,PARM/GSE301246,B07_Nystroem_SVR_like,B07_Nystroem_SVR_like,external_baseline,primary_headline,no,not_flagged,random_split,662,331,529.0,133,target,-0.3099185185875455,0.7521445923609369,0.5001129701277335,-0.4436556291929468,-0.1790764022222423,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_held_out_context_track_TaskB,PARM/GSE301246,B08_MLPRegressor,B08_MLPRegressor,external_baseline,primary_headline,no,not_flagged,random_split,662,331,529.0,133,target,-0.8210410660183891,0.8868273252655273,0.6623788218005187,-1.9243190667726848,-0.164000172861665,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_held_out_context_track_TaskB,PARM/GSE301246,N01_T04_ObservableAlignment_ExtraTrees,N01_T04_ObservableAlignment_ExtraTrees,atlas_nonlinear_head,primary_headline,no,not_flagged,random_split,662,331,529.0,133,target,0.1003169783382295,0.6233385104964209,0.4417359603515408,-0.09070311967058561,0.24592228493242937,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_held_out_context_track_TaskB,PARM/GSE301246,N02_T04_ObservableAlignment_HistGB,N02_T04_ObservableAlignment_HistGB,atlas_nonlinear_head,primary_headline,no,not_flagged,random_split,662,331,529.0,133,target,-0.012417054649422887,0.6612397038629293,0.4818043120810733,-0.24719923621898074,0.17228373804890917,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_held_out_context_track_TaskB,PARM/GSE301246,N03_T05_UncertaintyEnsemble_ExtraTrees,N03_T05_UncertaintyEnsemble_ExtraTrees,atlas_nonlinear_head,primary_headline,no,not_flagged,random_split,662,331,529.0,133,target,-0.20509839829114584,0.7214237757018216,0.5369200562662229,-0.37428738636598896,-0.08807711503499628,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_held_out_context_track_TaskB,PARM/GSE301246,N04_T05_UncertaintyEnsemble_HistGB,N04_T05_UncertaintyEnsemble_HistGB,atlas_nonlinear_head,primary_headline,no,not_flagged,random_split,662,331,529.0,133,target,-0.27052226160279336,0.7407477414560278,0.5397240560097545,-0.5012492668095313,-0.10242933935569416,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_held_out_context_track_TaskB,PARM/GSE301246,N05_T02_SelectionPotential_HistGB,N05_T02_SelectionPotential_HistGB,atlas_nonlinear_head,primary_headline,no,not_flagged,random_split,662,331,529.0,133,target,-0.37141604686641094,0.7695977864561199,0.5514217738356119,-0.6981536888274653,-0.15001460901642283,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_Task_C_stress_test,PARM/GSE301246,B01_Ridge_GLM_style,B01_Ridge_GLM_style,external_baseline,boundary_failure,no,not_flagged,group_shuffle_split,148392,16486,115416.0,32976,target,-0.14429593404163743,0.16123788367514025,0.1022510696691935,-0.16614473339571484,-0.12523549897198066,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_Task_C_stress_test,PARM/GSE301246,B02_ElasticNet_GLM,B02_ElasticNet_GLM,external_baseline,boundary_failure,no,not_flagged,group_shuffle_split,148392,16486,115416.0,32976,target,-0.1428967601690323,0.16113927769745873,0.10254506700779795,-0.16367130559183138,-0.12701320427355034,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_Task_C_stress_test,PARM/GSE301246,B03_NystroemKernelRidge_RBF,B03_NystroemKernelRidge_RBF,external_baseline,boundary_failure,no,not_flagged,group_shuffle_split,148392,16486,115416.0,32976,target,-0.1499066524742032,0.16163269157205934,0.10228790022868357,-0.17478583177036314,-0.131664879519849,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_Task_C_stress_test,PARM/GSE301246,B04_ExtraTrees,B04_ExtraTrees,external_baseline,boundary_failure,no,not_flagged,group_shuffle_split,148392,16486,115416.0,32976,target,-0.18128168548337031,0.16382291418552872,0.09921436000216144,-0.2781102581056556,-0.09468232820549802,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_Task_C_stress_test,PARM/GSE301246,B05_RandomForest,B05_RandomForest,external_baseline,boundary_failure,no,not_flagged,group_shuffle_split,148392,16486,115416.0,32976,target,-0.15929696125297843,0.1622913080175177,0.09872195708292274,-0.2509073677544207,-0.06836233314070966,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_Task_C_stress_test,PARM/GSE301246,B06_HistGradientBoosting,B06_HistGradientBoosting,external_baseline,boundary_failure,no,not_flagged,group_shuffle_split,148392,16486,115416.0,32976,target,-0.18050655097973145,0.16376915663010413,0.09140079986222602,-0.27718741175149214,-0.09230810780138025,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_Task_C_stress_test,PARM/GSE301246,B07_Nystroem_SVR_like,B07_Nystroem_SVR_like,external_baseline,boundary_failure,no,not_flagged,group_shuffle_split,148392,16486,115416.0,32976,target,-0.06618562197530342,0.15563752739688416,0.08471841618014131,-0.08373637378703698,-0.0519242330818271,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_Task_C_stress_test,PARM/GSE301246,B08_MLPRegressor,B08_MLPRegressor,external_baseline,boundary_failure,no,not_flagged,group_shuffle_split,148392,16486,115416.0,32976,target,-0.44806116424467857,0.1813808216652906,0.08065832965525334,-0.5924106150317108,-0.3035115512714038,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_Task_C_stress_test,PARM/GSE301246,N01_T04_ObservableAlignment_ExtraTrees,N01_T04_ObservableAlignment_ExtraTrees,atlas_nonlinear_head,boundary_failure,no,not_flagged,group_shuffle_split,148392,16486,115416.0,32976,target,-0.18128168548337031,0.16382291418552872,0.09921436000216144,-0.2781102581056556,-0.0946823282054979,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_Task_C_stress_test,PARM/GSE301246,N02_T04_ObservableAlignment_HistGB,N02_T04_ObservableAlignment_HistGB,atlas_nonlinear_head,boundary_failure,no,not_flagged,group_shuffle_split,148392,16486,115416.0,32976,target,-0.18050655097973145,0.16376915663010413,0.09140079986222602,-0.27718741175149214,-0.09230810780138025,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_Task_C_stress_test,PARM/GSE301246,N03_T05_UncertaintyEnsemble_ExtraTrees,N03_T05_UncertaintyEnsemble_ExtraTrees,atlas_nonlinear_head,boundary_failure,no,not_flagged,group_shuffle_split,148392,16486,115416.0,32976,target,-0.17615625790088507,0.16346712467689486,0.09960496873096243,-0.26327870923416075,-0.09311469611834529,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_Task_C_stress_test,PARM/GSE301246,N04_T05_UncertaintyEnsemble_HistGB,N04_T05_UncertaintyEnsemble_HistGB,atlas_nonlinear_head,boundary_failure,no,not_flagged,group_shuffle_split,148392,16486,115416.0,32976,target,-0.1674691817524736,0.16286232272166948,0.09145853420320146,-0.2654318904921318,-0.07864971347664339,300
PHASE5F_ALL_MODEL_CEILING_METRICS,PARM_GSE301246_Task_C_stress_test,PARM/GSE301246,N05_T02_SelectionPotential_HistGB,N05_T02_SelectionPotential_HistGB,atlas_nonlinear_head,boundary_failure,no,not_flagged,group_shuffle_split,148392,16486,115416.0,32976,target,-0.18171062528110538,0.163852654674473,0.0914500947595368,-0.2829783183755853,-0.09165609612501407,300
PHASE5F_ALL_MODEL_CEILING_METRICS,GSE221384_context_track,GSE221384-derived context,B01_Ridge_GLM_style,B01_Ridge_GLM_style,external_baseline,primary_headline,no,potential_duplicate_or_related,group_shuffle_split,150000,12499,112500.0,37500,target,0.016141445505727825,1.7986614897454534,1.5367962831125013,0.0076907784141707625,0.02306777120691231,300
PHASE5F_ALL_MODEL_CEILING_METRICS,GSE221384_context_track,GSE221384-derived context,B02_ElasticNet_GLM,B02_ElasticNet_GLM,external_baseline,primary_headline,no,potential_duplicate_or_related,group_shuffle_split,150000,12499,112500.0,37500,target,-0.0861479708440489,1.8898511568407375,1.6232662716398403,-0.0930794515153357,-0.07985903375503799,300
PHASE5F_ALL_MODEL_CEILING_METRICS,GSE221384_context_track,GSE221384-derived context,B03_NystroemKernelRidge_RBF,B03_NystroemKernelRidge_RBF,external_baseline,primary_headline,no,potential_duplicate_or_related,group_shuffle_split,150000,12499,112500.0,37500,target,-0.07929368590764474,1.8838786375643632,1.6163255763744615,-0.08583048151777116,-0.07232478883501868,300
PHASE5F_ALL_MODEL_CEILING_METRICS,GSE221384_context_track,GSE221384-derived context,B04_ExtraTrees,B04_ExtraTrees,external_baseline,primary_headline,no,potential_duplicate_or_related,group_shuffle_split,150000,12499,112500.0,37500,target,0.36434009276167334,1.4457576977854107,1.190843998525615,0.35589124575075354,0.3732439133145648,300
PHASE5F_ALL_MODEL_CEILING_METRICS,GSE221384_context_track,GSE221384-derived context,B05_RandomForest,B05_RandomForest,external_baseline,primary_headline,no,potential_duplicate_or_related,group_shuffle_split,150000,12499,112500.0,37500,target,0.39797538975254076,1.406987457128619,1.1514325290869083,0.3891818803863675,0.4062884103212868,300
PHASE5F_ALL_MODEL_CEILING_METRICS,GSE221384_context_track,GSE221384-derived context,B06_HistGradientBoosting,B06_HistGradientBoosting,external_baseline,primary_headline,no,potential_duplicate_or_related,group_shuffle_split,150000,12499,112500.0,37500,target,0.3102540057173442,1.5060094490457048,1.253968813672817,0.30153324757467403,0.31831204641594724,300
PHASE5F_ALL_MODEL_CEILING_METRICS,GSE221384_context_track,GSE221384-derived context,B07_Nystroem_SVR_like,B07_Nystroem_SVR_like,external_baseline,primary_headline,no,potential_duplicate_or_related,group_shuffle_split,150000,12499,112500.0,37500,target,-0.16502818618064308,1.9572726141016523,1.6636100073338576,-0.17442398535084605,-0.1560440821251215,300
PHASE5F_ALL_MODEL_CEILING_METRICS,GSE221384_context_track,GSE221384-derived context,B08_MLPRegressor,B08_MLPRegressor,external_baseline,primary_headline,no,potential_duplicate_or_related,group_shuffle_split,150000,12499,112500.0,37500,target,0.5624694124222619,1.1994642631586703,0.9554352732804553,0.5549355225550812,0.569571891670618,300
PHASE5F_ALL_MODEL_CEILING_METRICS,GSE221384_context_track,GSE221384-derived context,N01_T04_ObservableAlignment_ExtraTrees,N01_T04_ObservableAlignment_ExtraTrees,atlas_nonlinear_head,primary_headline,no,potential_duplicate_or_related,group_shuffle_split,150000,12499,112500.0,37500,target,0.36434009276167345,1.4457576977854105,1.190843998525615,0.35589124575075354,0.37324391331456475,300
PHASE5F_ALL_MODEL_CEILING_METRICS,GSE221384_context_track,GSE221384-derived context,N02_T04_ObservableAlignment_HistGB,N02_T04_ObservableAlignment_HistGB,atlas_nonlinear_head,primary_headline,no,potential_duplicate_or_related,group_shuffle_split,150000,12499,112500.0,37500,target,0.3102540057173442,1.5060094490457048,1.253968813672817,0.30153324757467403,0.31831204641594724,300
PHASE5F_ALL_MODEL_CEILING_METRICS,GSE221384_context_track,GSE221384-derived context,N03_T05_UncertaintyEnsemble_ExtraTrees,N03_T05_UncertaintyEnsemble_ExtraTrees,atlas_nonlinear_head,primary_headline,no,potential_duplicate_or_related,group_shuffle_split,150000,12499,112500.0,37500,target,0.3635588255063892,1.4466458899494221,1.1938922193051809,0.3552134824998865,0.37240226112268915,300
PHASE5F_ALL_MODEL_CEILING_METRICS,GSE221384_context_track,GSE221384-derived context,N04_T05_UncertaintyEnsemble_HistGB,N04_T05_UncertaintyEnsemble_HistGB,atlas_nonlinear_head,primary_headline,no,potential_duplicate_or_related,group_shuffle_split,150000,12499,112500.0,37500,target,0.31084800933110435,1.5053608278535076,1.2540490700871527,0.3023882446680869,0.31879095524389073,300
PHASE5F_ALL_MODEL_CEILING_METRICS,GSE221384_context_track,GSE221384-derived context,N05_T02_SelectionPotential_HistGB,N05_T02_SelectionPotential_HistGB,atlas_nonlinear_head,primary_headline,no,potential_duplicate_or_related,group_shuffle_split,150000,12499,112500.0,37500,target,0.30962503679146147,1.5066959461837064,1.254320144714594,0.301022243853523,0.3174422677132225,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track_2,Random Promoter DREAM / MAUDE-derived,B01_Ridge_GLM_style,B01_Ridge_GLM_style,external_baseline,primary_headline,no,potential_duplicate_or_related,random_split,71103,39069,56882.0,14221,target,0.474230574645769,0.5446090541467471,0.44238398205831003,0.4653337837881802,0.48518024939684207,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track_2,Random Promoter DREAM / MAUDE-derived,B02_ElasticNet_GLM,B02_ElasticNet_GLM,external_baseline,primary_headline,no,potential_duplicate_or_related,random_split,71103,39069,56882.0,14221,target,0.17914677745628171,0.6804871793146646,0.5681582718219985,0.17200225626004292,0.1866594188283411,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track_2,Random Promoter DREAM / MAUDE-derived,B03_NystroemKernelRidge_RBF,B03_NystroemKernelRidge_RBF,external_baseline,primary_headline,no,potential_duplicate_or_related,random_split,71103,39069,56882.0,14221,target,0.06220375365929698,0.7273466427883521,0.6082245016749761,0.05596887020676669,0.06782550811820184,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track_2,Random Promoter DREAM / MAUDE-derived,B04_ExtraTrees,B04_ExtraTrees,external_baseline,primary_headline,no,potential_duplicate_or_related,random_split,71103,39069,56882.0,14221,target,0.6807595832366726,0.424371420180336,0.3113091753859542,0.6709492563459954,0.6904956727621525,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track_2,Random Promoter DREAM / MAUDE-derived,B05_RandomForest,B05_RandomForest,external_baseline,primary_headline,no,potential_duplicate_or_related,random_split,71103,39069,56882.0,14221,target,0.6730305247309207,0.42947787808384186,0.3132372330470521,0.6627304545511419,0.6824918898279576,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track_2,Random Promoter DREAM / MAUDE-derived,B06_HistGradientBoosting,B06_HistGradientBoosting,external_baseline,primary_headline,no,potential_duplicate_or_related,random_split,71103,39069,56882.0,14221,target,0.6875068542339264,0.4198628423938811,0.3104634005771462,0.6785290944903783,0.6962089142352941,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track_2,Random Promoter DREAM / MAUDE-derived,B07_Nystroem_SVR_like,B07_Nystroem_SVR_like,external_baseline,primary_headline,no,potential_duplicate_or_related,random_split,71103,39069,56882.0,14221,target,0.05743937131550825,0.729191908915447,0.6073699058282441,0.05071364866548518,0.06411240608042136,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track_2,Random Promoter DREAM / MAUDE-derived,B08_MLPRegressor,B08_MLPRegressor,external_baseline,primary_headline,no,potential_duplicate_or_related,random_split,71103,39069,56882.0,14221,target,0.7382928185815737,0.384233311381836,0.2656383532863336,0.7278060587067595,0.7480776617621762,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track_2,Random Promoter DREAM / MAUDE-derived,N01_T04_ObservableAlignment_ExtraTrees,N01_T04_ObservableAlignment_ExtraTrees,atlas_nonlinear_head,primary_headline,no,potential_duplicate_or_related,random_split,71103,39069,56882.0,14221,target,0.6807595832366726,0.424371420180336,0.3113091753859542,0.6709492563459954,0.6904956727621525,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track_2,Random Promoter DREAM / MAUDE-derived,N02_T04_ObservableAlignment_HistGB,N02_T04_ObservableAlignment_HistGB,atlas_nonlinear_head,primary_headline,no,potential_duplicate_or_related,random_split,71103,39069,56882.0,14221,target,0.687507404950918,0.4198624724246411,0.3104697376179896,0.6785322059393172,0.6962084281400144,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track_2,Random Promoter DREAM / MAUDE-derived,N03_T05_UncertaintyEnsemble_ExtraTrees,N03_T05_UncertaintyEnsemble_ExtraTrees,atlas_nonlinear_head,primary_headline,no,potential_duplicate_or_related,random_split,71103,39069,56882.0,14221,target,0.6778576988561151,0.4262958176849719,0.315093204111774,0.6682898644878796,0.6873205305540461,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track_2,Random Promoter DREAM / MAUDE-derived,N04_T05_UncertaintyEnsemble_HistGB,N04_T05_UncertaintyEnsemble_HistGB,atlas_nonlinear_head,primary_headline,no,potential_duplicate_or_related,random_split,71103,39069,56882.0,14221,target,0.6877268988794739,0.41971499140681345,0.31098229546543227,0.6791404589710062,0.6961499319470915,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track_2,Random Promoter DREAM / MAUDE-derived,N05_T02_SelectionPotential_HistGB,N05_T02_SelectionPotential_HistGB,atlas_nonlinear_head,primary_headline,no,potential_duplicate_or_related,random_split,71103,39069,56882.0,14221,target,0.6849456671111965,0.4215799247081163,0.31291564871078253,0.676512264578744,0.6939365576059661,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track_3,Random Promoter DREAM / MAUDE-derived,B01_Ridge_GLM_style,B01_Ridge_GLM_style,external_baseline,primary_headline,no,potential_duplicate_or_related,random_split,150000,150000,120000.0,30000,target,0.28648722938507365,1.9994916787838621,1.5524296419994368,0.2786634889290077,0.2934495197188064,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track_3,Random Promoter DREAM / MAUDE-derived,B02_ElasticNet_GLM,B02_ElasticNet_GLM,external_baseline,primary_headline,no,potential_duplicate_or_related,random_split,150000,150000,120000.0,30000,target,0.179503349275571,2.1441597147603173,1.6905531413942303,0.17327406268981346,0.1857584411921818,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track_3,Random Promoter DREAM / MAUDE-derived,B03_NystroemKernelRidge_RBF,B03_NystroemKernelRidge_RBF,external_baseline,primary_headline,no,potential_duplicate_or_related,random_split,150000,150000,120000.0,30000,target,0.07481279223385184,2.276845362380821,1.8128133367202635,0.06869122182643882,0.08042524674525242,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track_3,Random Promoter DREAM / MAUDE-derived,B04_ExtraTrees,B04_ExtraTrees,external_baseline,primary_headline,no,potential_duplicate_or_related,random_split,150000,150000,120000.0,30000,target,0.3040211224574503,1.9747710661330782,1.526435657320625,0.2953547117351506,0.31170095524291314,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track_3,Random Promoter DREAM / MAUDE-derived,B05_RandomForest,B05_RandomForest,external_baseline,primary_headline,no,potential_duplicate_or_related,random_split,150000,150000,120000.0,30000,target,0.3013927785417989,1.9784963849521475,1.5283522659932363,0.2923199989075461,0.30930619193407094,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track_3,Random Promoter DREAM / MAUDE-derived,B06_HistGradientBoosting,B06_HistGradientBoosting,external_baseline,primary_headline,no,potential_duplicate_or_related,random_split,150000,150000,120000.0,30000,target,0.33232694139616237,1.934196762040737,1.4910489515344243,0.3237486929982059,0.3407987536667152,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track_3,Random Promoter DREAM / MAUDE-derived,B07_Nystroem_SVR_like,B07_Nystroem_SVR_like,external_baseline,primary_headline,no,potential_duplicate_or_related,random_split,150000,150000,120000.0,30000,target,0.05401753340668369,2.302291283596625,1.8055428675082283,0.04894835975828694,0.059470730397686175,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track_3,Random Promoter DREAM / MAUDE-derived,B08_MLPRegressor,B08_MLPRegressor,external_baseline,primary_headline,no,potential_duplicate_or_related,random_split,150000,150000,120000.0,30000,target,0.22478179622113392,2.0841583224864415,1.5975640049805968,0.2114375195907999,0.23927236689747422,300
